restaurant_name,zip_code,price,cuisine,num_review,rating,housing_price,median_income
Flat & Point,60647,,American (New),20,4.55,812.7338668142108,78413
Chef’s Special Cocktail Bar,60647,,Chinese,20,4.15,812.7338668142108,78413
Bixi Beer,60647,20.5,Asian Fusion,20,4.55,812.7338668142108,78413
En Hakkore,60647,20.5,Korean,20,4.65,812.7338668142108,78413
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.5,812.7338668142108,78413
Lonesome Rose,60647,20.5,Mexican,20,4.15,812.7338668142108,78413
Humboldt Haus Sandwich Bar,60647,5.0,Sandwiches,20,4.25,812.7338668142108,78413
Wyler Road,60647,20.5,Sandwiches,20,4.15,812.7338668142108,78413
The StopAlong,60647,20.5,Pizza,20,4.3,812.7338668142108,78413
Milly’s Pizza In The Pan,60647,,Pizza,20,4.9,812.7338668142108,78413
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65,812.7338668142108,78413
Tricycle Chicago,60647,20.5,American (New),20,3.65,812.7338668142108,78413
The Moonlighter,60647,20.5,Burgers,20,3.9,812.7338668142108,78413
Namaste Chicago,60647,20.5,Indian,20,4.55,812.7338668142108,78413
Mini Mott,60647,20.5,Burgers,20,3.95,812.7338668142108,78413
Caribella,60647,20.5,Breakfast & Brunch,20,4.7,812.7338668142108,78413
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15,812.7338668142108,78413
El Habanero,60647,20.5,Mexican,20,4.35,812.7338668142108,78413
Osteria Langhe,60647,45.5,Italian,20,4.95,812.7338668142108,78413
Bulerias Tapas Bar,60647,,Tapas Bars,20,4.2,812.7338668142108,78413
Reno,60647,20.5,American (Traditional),20,3.85,812.7338668142108,78413
Quesabirria Jalisco Restaurant,60706,,Mexican,20,4.75,529.0857141820304,68808
Chick-fil-A - Bucktown,60614,,Fast Food,11,4.2727272727272725,1014.3272856726244,117138
Pequod's Pizzeria,60614,20.5,Pizza,20,4.15,1014.3272856726244,117138
Butcher & The Burger,60614,20.5,Burgers,20,4.45,1014.3272856726244,117138
Del Seoul,60614,5.0,Korean,20,4.5,1014.3272856726244,117138
Kapitan,60614,,Asian Fusion,20,4.3,1014.3272856726244,117138
Galit,60614,20.5,Mediterranean,20,4.8,1014.3272856726244,117138
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6,1014.3272856726244,117138
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9,1014.3272856726244,117138
Xi'an Dynasty Cuisine,60614,20.5,Chinese,20,4.55,1014.3272856726244,117138
Hops & Curds,60614,,Comfort Food,16,4.8125,1014.3272856726244,117138
Boka,60614,45.5,American (New),20,4.6,1014.3272856726244,117138
Aloha Eats,60614,20.5,Hawaiian,20,4.45,1014.3272856726244,117138
Crab Cellar,60614,70.0,Seafood,20,4.7,1014.3272856726244,117138
Philly Bros,60614,20.5,Halal,20,4.2,1014.3272856726244,117138
Maple & Ash,60610,70.0,Steakhouses,20,4.55,1203.1953998288923,92130
The Picky Vegan,60610,,Vegan,2,5.0,1203.1953998288923,92130
Little Goat Diner,60607,20.5,Diners,20,4.5,,102726
Reve Burger,60607,,Burgers,16,3.3125,,102726
Eat Me Milk Me,60607,5.0,Themed Cafes,20,4.5,,102726
Mom's,60607,,Japanese,8,4.75,,102726
The Publican,60607,45.5,American (New),20,3.85,,102726
Duck Duck Goat,60607,45.5,Chinese,20,4.55,,102726
Bar Siena,60607,20.5,Italian,20,4.1,,102726
Green Street Smoked Meats,60607,20.5,Barbeque,20,4.5,,102726
Monteverde,60607,45.5,Italian,20,4.7,,102726
Bill Kim Asian Comfort Food,60607,,Korean,6,4.333333333333333,,102726
Fry The Coop,60642,20.5,American (Traditional),20,4.45,968.3705967372098,112241
jeong,60642,,Korean,20,4.6,968.3705967372098,112241
