name,zip_code,price,cuisine,num_review,rating,housing_price,median_income
Penumbra,60647,20.5,Seafood,20,4.75,823.6626264280893,78413
Giant,60647,45.5,American (New),20,4.2,823.6626264280893,78413
KFire,60647,0.0,Korean,20,4.8,823.6626264280893,78413
Daisies,60647,20.5,American (New),20,4.55,823.6626264280893,78413
Landbirds,60647,20.5,Chicken Wings,20,4.2,823.6626264280893,78413
Longman & Eagle,60647,20.5,Gastropubs,20,4.2,823.6626264280893,78413
Antico,60647,45.5,Italian,20,4.45,823.6626264280893,78413
The Parlor &quot;Grand Speakeasy&quot;,60647,0.0,American (New),20,4.3,823.6626264280893,78413
Offset BBQ,60647,0.0,Barbeque,20,4.7,823.6626264280893,78413
Taqueria Chingon,60647,0.0,Mexican,20,4.65,823.6626264280893,78413
90 Miles Cuban Café,60647,20.5,Cuban,20,4.45,823.6626264280893,78413
Small Cheval,60647,20.5,Burgers,20,4.6,823.6626264280893,78413
The Bristol,60647,20.5,American (New),20,4.15,823.6626264280893,78413
Handlebar,60647,20.5,Vegetarian,20,4.5,823.6626264280893,78413
Bárbaro Taquería,60647,20.5,Mexican,20,4.6,823.6626264280893,78413
Scofflaw,60647,20.5,American (New),20,3.85,823.6626264280893,78413
Wonder Chop,60647,0.0,Chinese,20,4.85,823.6626264280893,78413
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5,823.6626264280893,78413
Owen & Engine,60647,20.5,Gastropubs,20,4.5,823.6626264280893,78413
Three Wheels Noodle,60647,20.5,Thai,20,4.4,823.6626264280893,78413
Testaccio,60647,0.0,Italian,20,4.9,823.6626264280893,78413
Andros Taverna,60647,0.0,Greek,14,4.428571428571429,823.6626264280893,78413
Ramen Wasabi,60647,20.5,Ramen,20,4.5,823.6626264280893,78413
Olivia's Market,60647,45.5,Delis,20,4.45,823.6626264280893,78413
Lula Cafe,60647,20.5,American (New),20,4.45,823.6626264280893,78413
Serai,60647,20.5,Malaysian,20,4.35,823.6626264280893,78413
The Whale Chicago,60647,20.5,American (New),20,4.15,823.6626264280893,78413
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65,823.6626264280893,78413
Flat & Point,60647,0.0,American (New),20,4.55,823.6626264280893,78413
Ipsento 606,60647,20.5,Sandwiches,20,3.85,823.6626264280893,78413
Chef’s Special Cocktail Bar,60647,0.0,Chinese,20,4.15,823.6626264280893,78413
Bixi Beer,60647,20.5,Asian Fusion,20,4.55,823.6626264280893,78413
"Table, Donkey and Stick",60647,20.5,Modern European,20,4.3,823.6626264280893,78413
En Hakkore,60647,20.5,Korean,20,4.6,823.6626264280893,78413
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.65,823.6626264280893,78413
Humboldt Haus Sandwich Bar,60647,10.0,Sandwiches,20,4.25,823.6626264280893,78413
Nomonomo Japanese Pub & Grill,60647,0.0,Japanese,10,3.9,823.6626264280893,78413
Wyler Road,60647,20.5,Sandwiches,20,4.15,823.6626264280893,78413
The StopAlong,60647,20.5,Pizza,20,4.2,823.6626264280893,78413
Milly’s Pizza In The Pan,60647,0.0,Pizza,20,4.9,823.6626264280893,78413
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65,823.6626264280893,78413
Dos Urban Cantina,60647,20.5,Mexican,20,4.45,823.6626264280893,78413
Cebu,60647,20.5,Filipino,20,4.25,823.6626264280893,78413
Mi Tocaya Antojeria,60647,20.5,Mexican,20,3.7,823.6626264280893,78413
Tricycle Chicago,60647,20.5,American (New),20,3.65,823.6626264280893,78413
The Moonlighter,60647,20.5,Burgers,20,3.9,823.6626264280893,78413
Namaste Chicago,60647,20.5,Indian,20,4.55,823.6626264280893,78413
Knead Great Pizza,60647,20.5,Pizza,20,4.65,823.6626264280893,78413
Mini Mott,60647,20.5,Burgers,20,3.95,823.6626264280893,78413
Caribella,60647,20.5,Breakfast &amp; Brunch,20,4.7,823.6626264280893,78413
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15,823.6626264280893,78413
El Habanero,60647,20.5,Mexican,20,4.3,823.6626264280893,78413
The Crab Pad,60647,20.5,Seafood,20,3.7,823.6626264280893,78413
Osteria Langhe,60647,45.5,Italian,20,4.95,823.6626264280893,78413
Bulerias Tapas Bar,60647,0.0,Tapas Bars,20,4.2,823.6626264280893,78413
Quesabirria Jalisco Restaurant,60706,0.0,Mexican,20,4.75,529.1048120720031,68808
Au Cheval,60607,20.5,American (Traditional),20,4.15,1045.4380014381861,102726
SoJu BBQ,60607,20.5,Korean,20,4.45,1045.4380014381861,102726
Reve Burger,60607,0.0,Burgers,16,3.3125,1045.4380014381861,102726
Mom's,60607,0.0,Japanese,8,4.75,1045.4380014381861,102726
The Publican,60607,45.5,American (New),20,3.85,1045.4380014381861,102726
The Loyalist,60607,20.5,American (New),20,4.15,1045.4380014381861,102726
Duck Duck Goat,60607,45.5,Chinese,20,4.55,1045.4380014381861,102726
Aba,60607,45.5,Mediterranean,20,4.75,1045.4380014381861,102726
Bar Siena,60607,20.5,Italian,20,4.15,1045.4380014381861,102726
The Office,60607,61.0,American (Traditional),20,4.4,1045.4380014381861,102726
Boqueria - Fulton Market,60607,45.5,Spanish,20,4.65,1045.4380014381861,102726
Green Street Smoked Meats,60607,20.5,Barbeque,20,4.45,1045.4380014381861,102726
Gaijin,60607,20.5,Japanese,20,4.45,1045.4380014381861,102726
Monteverde,60607,45.5,Italian,20,4.7,1045.4380014381861,102726
Bill Kim Asian Comfort Food,60607,0.0,Korean,6,4.333333333333333,1045.4380014381861,102726
Chick-fil-A - Bucktown,60614,0.0,Fast Food,11,4.2727272727272725,1038.307947807857,117138
Butcher & The Burger,60614,20.5,Burgers,20,4.45,1038.307947807857,117138
Del Seoul,60614,10.0,Korean,20,4.5,1038.307947807857,117138
Chicago Pizza And Oven Grinder Company,60614,20.5,Pizza,20,4.6,1038.307947807857,117138
Kapitan,60614,0.0,Asian Fusion,20,4.3,1038.307947807857,117138
Galit,60614,20.5,Mediterranean,20,4.8,1038.307947807857,117138
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6,1038.307947807857,117138
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9,1038.307947807857,117138
Xi'an Dynasty Cuisine,60614,20.5,Chinese,20,4.6,1038.307947807857,117138
Sapori Trattoria,60614,20.5,Italian,20,4.55,1038.307947807857,117138
Boka,60614,45.5,American (New),20,4.6,1038.307947807857,117138
Aloha Eats,60614,20.5,Hawaiian,20,4.45,1038.307947807857,117138
Crab Cellar,60614,61.0,Seafood,20,4.7,1038.307947807857,117138
Mr Dumpling,60614,0.0,Chinese,20,4.0,1038.307947807857,117138
Fry The Coop,60642,20.5,American (Traditional),20,4.45,1100.8205656642476,112241
SPICY FINGERS  Seafood Kitchen,60642,0.0,Seafood,20,4.35,1100.8205656642476,112241
jeong,60642,0.0,Korean,20,4.6,1100.8205656642476,112241
Crazy Bird,60642,10.0,Chicken Wings,20,4.3,1100.8205656642476,112241
Goose Island Shrimp House Chicago,60642,10.0,Seafood,20,3.9,1100.8205656642476,112241
Pizzeria Bebu,60642,20.5,Pizza,20,4.55,1100.8205656642476,112241
Vajra,60642,45.5,Himalayan/Nepalese,20,4.8,1100.8205656642476,112241
Daebak Lincoln Park,60642,0.0,Korean,6,4.666666666666667,1100.8205656642476,112241
Flo,60642,20.5,Breakfast &amp; Brunch,20,4.55,1100.8205656642476,112241
The Dandy Crown,60642,0.0,American (New),16,4.375,1100.8205656642476,112241
Perilla Korean American Fare,60654,0.0,Korean,20,4.45,1176.1860352195345,122492
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.15,1176.1860352195345,122492
Portillo's Hot Dogs,60654,10.0,Hot Dogs,20,3.95,1176.1860352195345,122492
RAMEN-SAN,60654,20.5,Ramen,20,3.6,1176.1860352195345,122492
The Dawson,60654,20.5,American (Traditional),20,3.8,1176.1860352195345,122492
Lil' Ba-Ba-Reeba,60654,0.0,Seafood,6,4.5,1176.1860352195345,122492
Arbella,60654,20.5,Tapas/Small Plates,20,4.75,1176.1860352195345,122492
Minahasa,60603,0.0,Indonesian,6,4.833333333333333,1311.5895460415904,146250
Crisp,60657,20.5,Korean,20,4.5,920.564828302087,95173
Wake ‘n Bacon,60657,0.0,Breakfast &amp; Brunch,20,4.4,920.564828302087,95173
Tatas Tacos,60657,0.0,Tacos,3,5.0,920.564828302087,95173
Chengdu Aroma,60657,20.5,Szechuan,20,4.9,920.564828302087,95173
Kraken Sushi & Beyond,60618,0.0,Japanese,10,4.8,662.8823957034,78704
